id,tcg_id
959087,xy7-69
7372282,xy7-69
5963749,xy7-69
959175,xy7-69
959046,xy7-27
959105,xy7-87
959088,xy7-70
959176,xy7-70
959025,xy7-6
959124,xy7-6
959050,xy7-31
959051,xy7-32
959144,xy7-31
959145,xy7-32
2158357,xy7-47
2158356,xy7-47
959023,xy7-4
959122,xy7-4
959052,xy7-33
959146,xy7-33
959028,xy7-9
959125,xy7-9
959073,xy7-55
959163,xy7-55
959100,xy7-82
959188,xy7-82
959089,xy7-71
959177,xy7-71
959081,xy7-63
959170,xy7-63
959090,xy7-72
959178,xy7-72
959117,xy7-99
959033,xy7-14
959034,xy7-15
959130,xy7-14
959131,xy7-15
959091,xy7-73
959179,xy7-73
959032,xy7-13
6946114,xy7-13
959129,xy7-13
959101,xy7-83
959189,xy7-83
959092,xy7-74
959180,xy7-74
959072,xy7-54
959162,xy7-54
959075,xy7-57
959111,xy7-93
959021,xy7-2
959120,xy7-2
959053,xy7-34
959147,xy7-34
959054,xy7-35
959060,xy7-41
959148,xy7-35
959152,xy7-41
959078,xy7-60
959167,xy7-60
959076,xy7-58
959165,xy7-58
959039,xy7-20
959040,xy7-21
959136,xy7-20
959137,xy7-21
959093,xy7-75
2390412,xy7-75a
959181,xy7-75
959055,xy7-36
959107,xy7-89
7084351,xy7-36
959064,xy7-45
959154,xy7-45
959045,xy7-26
959141,xy7-26
959071,xy7-53
959161,xy7-53
959044,xy7-25
959104,xy7-86
959035,xy7-16
959132,xy7-16
959094,xy7-76
959182,xy7-76
959095,xy7-77
959183,xy7-77
959086,xy7-68
959112,xy7-94
959096,xy7-78
959184,xy7-78
959047,xy7-28
959106,xy7-88
959116,xy7-98
5420697,xy7-98
959027,xy7-8
959103,xy7-85
959062,xy7-43
959110,xy7-92
959056,xy7-37
959108,xy7-90
959038,xy7-19
959135,xy7-19
959065,xy7-46
959155,xy7-46
959079,xy7-61
959168,xy7-61
959067,xy7-49
959068,xy7-50
959157,xy7-49
959158,xy7-50
959066,xy7-48
959156,xy7-48
959020,xy7-1
959119,xy7-1
959097,xy7-79
959185,xy7-79
959080,xy7-62
959169,xy7-62
959082,xy7-64
