PCID,TCGID,
886789,213139,
6791474,NA,
5600754,NA,
7456017,NA,
6944348,NA,
6135986,NA,
958835,98048,
7446285,585579,
4563048,231467,
845007,NA,
1563445,86795,
844538,86621,
7415747,NA,
844727,100512,
5167986,NA,
844893,196718,
5917449,NA,
4953924,NA,
5066011,139089,
1563430,96883,
7470161,NA,
3784401,279141,
4442239,NA,
4081036,284499,
7211576,NA,
925419,NA,
925412,NA,
958859,98072,
7549849,NA,
886637,87126,
6657775,NA,
5963772,NA,
5704607,NA,
6770017,554298,
6639752,NA,
886842,213207,
886599,85936,
6160724,NA,
5442446,NA,
887010,213176,
2383368,214272,
6302886,NA,
7532282,NA,
7456538,NA,
6769220,NA,
6573149,NA,
762936,86571,
6611965,NA,
4934077,487894,
4135701,96414,
844754,108618,
4033621,199611,
4933858,487944,
6570785,NA,
844810,179039,
925581,86414,
845074,87116,
4405309,NA,
5298579,532538,
849349,85044,
4933938,487059,
886779,213127,
849263,88919,
4863962,158168,
886951,213093,
7183610,NA,
6948329,NA,
958539,95980,
844770,199617,
5810759,NA,
5529176,NA,
4934089,487912,
3233275,NA,
5791404,NA,
845081,89116,
4080965,189457,
849346,84070,
925461,NA,
958639,95904,
925570,83474,
844910,201945,
844812,168245,
958497,95932,
925450,NA,
763017,85252,
886598,84735,
6658426,NA,
886959,213105,
4557000,96566,
4196344,NA,
6518231,NA,
4405315,283298,
5013885,475427,
886860,213229,
4175618,NA,
958837,98050,
886792,213142,
7549848,NA,
845017,NA,
6058763,NA,
4787906,NA,
6791478,NA,
844908,130683,
4613812,NA,
958519,95960,
958891,98104,
844632,125251,
5115343,NA,
5923782,NA,
5864012,NA,
844991,152607,
886873,213247,
25431,168245,
5166420,479880,
1563465,90389,
845093,84469,
4933870,487961,
6136572,NA,
1563479,97091,
4559495,118870,
6614186,NA,
1563473,NA,
844977,151707,
887067,213258,
844818,170032,
845028,NA,
7518408,NA,
7210457,564137,
1563484,90289,
886847,213214,
849254,86831,
4188979,199622,
958954,98057,
4084486,NA,
958658,95938,
844652,126560,
4934153,487056,
1656539,NA,
958917,98130,
5927039,NA,
7484696,NA,
844595,118872,
844782,162042,
6331622,NA,
4441298,273154,
6874726,NA,
6399967,NA,
762996,89688,
762992,87232,
958832,98045,
844542,NA,
887023,213193,
887002,213168,
887034,213209,
6944518,NA,
886774,213120,
886827,213187,
4768896,NA,
844696,96394,
849361,88432,
4952788,NA,
5325011,NA,
845082,211505,
958946,98049,
4933908,488023,
958599,96040,
886949,213085,
844932,129894,
762913,89295,
844755,108619,
844956,162607,
5834257,NA,
1563469,84379,
845010,NA,
845051,89990,
5917429,NA,
5862195,518869,
849232,86804,
1656537,205466,
7518411,NA,
2931361,245874,
1656569,NA,
5122320,NA,
1656636,234378,
836323,213195,
6610737,NA,
2267333,NA,
886867,249767,
887014,213184,
4566857,NA,
4563043,NA,
762910,87232,
763010,89949,
849257,87682,
958910,98123,
4933941,488072,
6948328,NA,
4934120,487054,
7321544,NA,
958825,98038,
5927091,NA,
5013694,NA,
1563421,88706,
844548,86097,
886765,213109,
887055,213242,
6610734,NA,
4780192,489936,
4933837,487913,
7321547,NA,
958980,98086,
6810313,NA,
844947,139098,
886985,213142,
844535,97706,
844703,96421,
5917416,NA,
887071,213262,
6518232,NA,
5401619,NA,
849264,89036,
1656564,NA,
958992,98102,
849345,84069,
4933866,487956,
4934124,487971,
5881530,NA,
1656550,206426,
4602209,NA,
4126743,NA,
886853,213222,
844829,180519,
844758,108621,
763036,86761,
845076,84946,
844777,127511,
886778,213126,
845057,89175,
6021699,NA,
4933804,487866,
887030,213205,
886829,213189,
1656538,NA,
845038,NA,
7306121,NA,
7150037,NA,
4934165,488031,
5711032,NA,
6869698,NA,
5917433,NA,
1563423,96882,
958528,95969,
844650,96380,
762997,90366,
762998,90450,
7420003,585126,
4765513,NA,
886950,213086,
6551142,542468,
849228,86461,
845079,84814,
6635591,NA,
844736,173081,
849328,86461,
5133977,NA,
1656534,NA,
5964016,NA,
925541,86344,
5550810,NA,
958988,98099,
5575752,NA,
5401622,NA,
5115345,NA,
1563458,90590,
844723,104053,
4022337,NA,
844772,126031,
6009610,NA,
5917447,NA,
886928,213270,
845030,NA,
5917673,NA,
925595,89145,
886874,213248,
958860,98073,
4933945,488076,
925472,88476,
4084487,NA,
887016,213186,
886785,213135,
849277,90464,
844590,118864,
4125269,NA,
6234602,NA,
886834,213194,
845101,127134,
887064,213251,
763031,85874,
925416,NA,
958951,98054,
6055359,NA,
887047,213228,
3269378,264278,
6021774,NA,
1563401,89881,
849315,83557,
762912,89259,
849341,90396,
887074,213267,
4695527,199609,
1563439,89975,
2720039,NA,
886856,213225,
1563411,96881,
844802,168026,
5528791,NA,
5115013,NA,
4934078,487895,
4644169,479879,
849239,88482,
849252,85100,
2386853,NA,
6202554,NA,
844616,121953,
849356,87214,
886944,213080,
958960,98064,
6643064,NA,
886763,213107,
762935,85252,
844929,139096,
844933,131733,
6021697,NA,
849260,88073,
886804,213161,
4933940,488071,
6331616,NA,
958938,98041,
844881,189805,
4404553,NA,
7549853,NA,
5886113,NA,
5298576,500563,
958460,95888,
4317266,102803,
5550811,NA,
844701,96419,
886995,213161,
6042454,NA,
958901,98114,
844840,181000,
849226,86264,
849243,90662,
5371242,NA,
849196,86895,
844591,118866,
5963311,NA,
958862,98075,
886747,213084,
925537,85660,
6858156,NA,
958942,98045,
887041,213222,
887075,213268,
1563436,83739,
5401618,NA,
844628,125159,
1563491,89979,
3510235,NA,
2267334,241881,
1656581,NA,
886972,213124,
6776241,NA,
925482,90545,
762938,87888,
844593,96374,
6688134,NA,
925441,86679,
5890955,NA,
844896,197888,
6142220,NA,
925483,90563,
844976,151702,
6813629,NA,
886819,213176,
886753,213093,
958887,98100,
849255,86832,
886826,213186,
5706298,NA,
4933825,487895,
958824,98037,
5811032,517273,
1563429,90353,
6339455,NA,
844611,NA,
5639056,NA,
6241385,NA,
958867,98080,
2748082,NA,
925488,86891,
763028,84683,
845018,NA,
844709,NA,
6903528,NA,
886619,89950,
886940,213076,
958826,98039,
1656579,NA,
6776877,NA,
5013699,NA,
844623,121950,
844619,121955,
5706365,513874,
763030,88545,
887061,213248,
3348117,268304,
849222,84736,
763013,90647,
4175619,NA,
849299,89082,
5529021,NA,
925600,90082,
925421,86085,
4934160,488026,
844820,175564,
5534041,NA,
6160297,NA,
845092,211415,
844764,NA,
2807035,246927,
4199304,139091,
1656543,232769,
4992986,NA,
925557,NA,
844967,152606,
4388079,NA,
958890,98103,
3510233,NA,
6530691,NA,
1563433,88714,
3398929,84825,
4196342,NA,
844927,130685,
886631,87444,
762899,89021,
6266573,NA,
7558707,586831,
1656571,232768,
844877,185988,
887049,213230,
844964,173382,
2674827,NA,
1656618,NA,
845083,90013,
762978,84871,
5917423,NA,
5013890,475431,
762989,86459,
925470,87746,
844560,96371,
925487,85509,
1656566,NA,
925601,90545,
886811,213168,
762963,83475,
4579859,276050,
4863629,485844,
886999,213165,
886759,213103,
886976,213132,
2989148,257710,
1563459,84950,
1341319,87416,
6124419,NA,
849275,86597,
844697,96395,
886886,213263,
886973,213125,
4934109,487944,
959009,98124,
958892,98105,
925561,86972,
958991,98103,
762959,90506,
958836,98049,
1563462,87300,
6985253,127505,
844614,121952,
887007,213173,
958477,95904,
2565367,86555,
4934090,487913,
3374832,268447,
6148329,NA,
1656594,220317,
849261,88432,
887086,213184,
844592,118868,
844807,168093,
849207,86428,
849362,88553,
7321551,NA,
6985216,NA,
3544958,273939,
3684163,279028,
6331619,NA,
1656633,NA,
844955,162606,
844702,96420,
925515,90494,
958939,98042,
1563467,211425,
1656623,234284,
925535,NA,
762965,83903,
958895,98108,
6226277,NA,
762969,85632,
849332,86804,
958935,98038,
1563417,180717,
5917443,NA,
925544,87698,
2567646,247297,
2245571,211626,
5427287,262566,
886964,213110,
845041,NA,
958881,98094,
2619788,245870,
844954,139102,
4934166,488033,
958627,95890,
844653,126561,
844804,168030,
887065,213252,
844558,90701,
849326,86264,
4934037,487834,
844728,NA,
5963313,NA,
925420,NA,
762962,86761,
925590,87826,
4934069,487881,
958852,98065,
4934038,487836,
5114459,205166,
7418434,244347,
1656552,214236,
958604,96045,
5962689,NA,
844789,162603,
844951,139093,
925477,89391,
886914,213254,
6331621,NA,
887084,213283,
1384424,90346,
887082,213281,
7211577,NA,
845096,NA,
4335523,NA,
845098,NA,
845069,87909,
6288484,536070,
886745,213082,
925577,NA,
886869,213243,
5780488,NA,
4729813,NA,
958919,98132,
5325400,NA,
958922,98135,
958973,98079,
958697,95980,
959014,98128,
4658442,NA,
5133979,NA,
1563410,90760,
4247863,NA,
4556508,NA,
958855,98068,
5963308,NA,
6021832,NA,
886821,213178,
4934032,490294,
886936,213072,
887022,213192,
7108821,NA,
925522,85575,
886832,213192,
925613,90406,
958601,96042,
958633,95897,
4686316,179036,
958884,98097,
886743,213080,
844994,152605,
844895,197889,
925596,89391,
887085,213285,
849213,90278,
844971,149383,
5896408,NA,
886787,213137,
925480,90024,
7025156,NA,
887012,213182,
925468,87728,
886604,87233,
886795,213149,
763027,89709,
4557428,NA,
844743,NA,
5371619,NA,
844864,NA,
845027,NA,
958654,95928,
1563397,90733,
844868,189455,
844909,201939,
886794,213148,
925887,85497,
958864,98077,
958953,98056,
844925,200276,
762970,86010,
886638,87127,
5013826,491189,
762945,89709,
844594,118869,
845047,NA,
2720037,NA,
886744,213081,
4023994,NA,
886766,213110,
925520,85517,
958934,98037,
958677,95960,
887079,213275,
3985761,NA,
844779,127513,
4933813,487877,
6903565,NA,
958657,NA,
958476,NA,
4388090,NA,
4246445,NA,
2290515,NA,
5811031,NA,
844811,NA,
5927152,NA,
1563406,83666,
1563418,89071,
844744,108608,
5298577,499996,
1563443,84707,
886812,213169,
844819,170033,
844914,204966,
1563446,NA,
925440,NA,
6770016,552785,
5324571,NA,
844865,183562,
925417,85658,
844609,NA,
959010,98123,
958978,98084,
762911,89210,
886970,213120,
887025,213195,
886740,213077,
1563450,202379,
844529,86174,
925474,89044,
6303786,NA,
4933782,487833,
1563399,89377,
2720041,NA,
3404922,271837,
4956114,NA,
4933879,487978,
849380,88810,
845058,88089,
958529,95970,
887042,213223,
844654,169950,
886923,213181,
925553,NA,
5167985,NA,
7321548,NA,
886756,213098,
849350,85045,
886799,213154,
5917676,NA,
925533,NA,
844661,96381,
849331,86786,
2836918,253421,
762968,85056,
925402,85575,
5964237,NA,
763000,86490,
1563448,86801,
849330,86785,
762960,88418,
958861,98074,
4895144,NA,
4953789,NA,
2720040,NA,
1563475,242032,
844979,146980,
3216978,264284,
886989,213148,
886806,213163,
886636,85130,
6142178,NA,
4933918,488031,
849296,86923,
925467,87719,
4126334,NA,
925454,84115,
6813628,NA,
849269,89436,
5575861,NA,
925529,89158,
887063,213250,
886913,213233,
886783,213133,
5874635,NA,
886841,213206,
5426933,NA,
7518424,NA,
7549852,NA,
3834603,NA,
844651,131869,
6770015,NA,
844839,178797,
886998,213164,
2996431,NA,
844952,139090,
762914,89688,
849308,88012,
886968,213118,
844639,126565,
886642,88555,
886618,89261,
886602,86574,
643542,88862,
4933805,487867,
1750259,186319,
925448,90060,
844673,NA,
844805,164233,
887040,213221,
762958,85438,
886977,213133,
5167984,NA,
6903520,NA,
849270,90018,
886736,213073,
925603,83439,
925580,NA,
849227,86380,
6903575,NA,
845052,86282,
844580,126034,
3896171,201941,
4286390,454225,
844586,120701,
844748,108612,
886758,213100,
4934184,487059,
886987,213146,
844913,204973,
844622,121963,
925438,NA,
887083,213282,
844783,162460,
925443,NA,
6206696,125567,
3344729,183973,
844848,183971,
958918,98131,
6331614,NA,
925602,90563,
845075,85039,
925475,89143,
886797,213152,
958877,98090,
925425,87698,
5917678,517183,
6903541,NA,
886601,86460,
6770013,NA,
844841,181560,
886990,213149,
958880,98093,
4895091,NA,
4786026,NA,
5834665,NA,
6234390,NA,
4033612,275829,
4033613,275830,
844675,129900,
4188891,NA,
2564464,85928,
1563488,90150,
886833,213193,
886934,213286,
958943,98046,
762986,84400,
849216,83558,
4400432,NA,
886946,213082,
886947,213083,
844948,173399,
3395652,NA,
886831,213191,
887039,213220,
6985251,127503,
762961,85458,
844930,131294,
5769249,NA,
844808,168100,
886894,213278,
844596,118873,
4933912,488026,
958916,98129,
7096052,NA,
925527,88572,
958985,98091,
4992988,NA,
5953321,NA,
1656578,NA,
6329392,NA,
849327,86380,
844961,148423,
886858,213227,
886840,213205,
4934155,488023,
762957,85874,
925534,NA,
845050,89150,
886845,213210,
886844,213209,
958685,95968,
958868,98081,
3268926,264277,
6399950,NA,
4934190,488075,
4956116,NA,
5917421,NA,
958903,98116,
886746,213083,
849202,89425,
886734,213071,
887045,213226,
844684,96384,
6776107,NA,
845003,86555,
3232419,NA,
844678,127142,
1656624,234287,
4933871,487054,
886953,213095,
886802,213159,
5900949,NA,
4934088,487910,
886837,213201,
5325003,NA,
925599,90024,
4786015,NA,
959005,98119,
762906,85935,
958873,98086,
762919,85803,
925562,NA,
958686,95969,
4933826,487897,
925543,NA,
4933822,487891,
